Textbook,Subject,Seller,Purchase price,Purchaser,Sale price,Rating
Understanding silicon life,Year 10 Aliens,Tina Piercy  ,63.2,Warner Beisner  ,75,none
First contact: a guide,Year 10 Aliens,Chad Cadieux  ,107.4,Tonja Boughner  ,130,none
Faster than light propulsion,Year 11 Engines,Scott Rezentes  ,103.2,Genevieve Wiebe  ,125,5
Mapping our quadrant,Year 9 Navigation,Laurena Shattuck  ,43.6,Shawnee Zaremba  ,55,none
First contact: a guide,Year 10 Aliens,Edythe Spruill  ,35.8,Roseanna Kinnear  ,55,none
First contact: a guide,Year 10 Aliens,Thelma Colberg  ,107.4,Donny Burkhard  ,120,5
Mapping our quadrant,Year 9 Navigation,Brain Funaro  ,21.8,Ike Caton  ,45,none
Planets and satellites,Year 9 Planets,Brain Funaro  ,47.6,Shawnee Zaremba  ,70,none
First contact: a guide,Year 10 Aliens,Randee Ison  ,35.8,Yuko Cirillo  ,55,none
First contact: a guide,Year 10 Aliens,Chanda Benford  ,83.2,NA,NA,none
First contact: a guide,Year 10 Aliens,Jeraldine Salls  ,71.6,Luciana Fey  ,95,none
Understanding silicon life,Year 10 Aliens,Linda Mulford  ,63.2,Mertie Caraway  ,75,5
Safety on molten worlds,Year 9 Planets,Lilla Edick  ,29.8,Destiny Serrata  ,50,4
Safety on molten worlds,Year 9 Planets,Queenie Oliveros  ,59.6,Camie Giefer  ,75,none
Mapping our quadrant,Year 9 Navigation,Gertude Olveda  ,65.4,Camie Giefer  ,90,none
Planets and satellites,Year 9 Planets,Randa Bybee  ,71.4,Linnie Mudd  ,85,none
Lifeforms and societies,Year 10 Planets,Tina Piercy  ,39.6,Warner Beisner  ,50,3
First contact: a guide,Year 10 Aliens,Olivia Lamm  ,107.4,Tanja Zajac  ,130,5
Understanding silicon life,Year 10 Aliens,Carola Mothershed  ,63.2,Sandie Gierlach  ,85,none
Safety on molten worlds,Year 9 Planets,Idella Brashears  ,119.2,Glenna Sutcliffe  ,130,none
Lifeforms and societies,Year 10 Planets,Bev Defalco  ,19.8,NA,NA,none
Safety on molten worlds,Year 9 Planets,Arnold Fontanez  ,29.8,Sheron Hakala  ,45,none
First contact: a guide,Year 10 Aliens,Adria Surprenant  ,107.4,Reyes Whitty  ,115,5
First contact: a guide,Year 10 Aliens,Rob Foust  ,107.4,Epifania Fizer  ,125,4
Understanding silicon life,Year 10 Aliens,Gerry Cowman  ,47.4,Latosha Lindgren  ,70,none
First contact: a guide,Year 10 Aliens,Lamar Perrone  ,143.2,Ellie Schroth  ,155,none
First contact: a guide,Year 10 Aliens,Roseanna Shelly  ,107.4,Lorine Shadduck  ,120,none
First contact: a guide,Year 10 Aliens,Monte Bushnell  ,35.8,Levi Matt  ,45,3
Planets and satellites,Year 9 Planets,Indira Betts  ,47.6,Eliana Youmans  ,60,none
Lifeforms and societies,Year 10 Planets,Gertie Grimm  ,79.2,Kieth Buettner  ,90,4
Mapping our quadrant,Year 9 Navigation,Dino Maffei  ,87.2,Delmy Michaelsen  ,95,none
Safety on molten worlds,Year 9 Planets,Dino Maffei  ,89.4,Delmy Michaelsen  ,100,none
Understanding silicon life,Year 10 Aliens,Edie Rust  ,31.6,Lyn Giuffre  ,45,1
Safety on molten worlds,Year 9 Planets,Gertrudis Coats  ,59.6,Kittie Loiselle  ,80,none
First contact: a guide,Year 10 Aliens,Man Newell  ,71.6,Remedios Yarborough  ,95,none
Faster than light propulsion,Year 11 Engines,Lita Logue  ,25.8,Robin Grise  ,35,none
Mapping our quadrant,Year 9 Navigation,Jacqualine Alfrey  ,65.4,Louella Toppin  ,85,none
Understanding silicon life,Year 10 Aliens,Joselyn Skates  ,63.2,Edward Dillahunty  ,85,none
Mapping our quadrant,Year 9 Navigation,Hedwig Marez  ,21.8,Dominga Spagnolo  ,40,none
Lifeforms and societies,Year 10 Planets,Sacha Brunet  ,39.6,Edward Dillahunty  ,55,none
First contact: a guide,Year 10 Aliens,Sacha Brunet  ,71.6,Roland Dynes  ,85,none
Planets and satellites,Year 9 Planets,Christeen Lugar  ,23.8,Liliana Steinert  ,35,none
Mapping our quadrant,Year 9 Navigation,Xavier Shankle  ,87.2,Rowena Toman  ,105,5
Lifeforms and societies,Year 10 Planets,Lashawna Seman  ,79.2,Chasity Magyar  ,105,none
Understanding silicon life,Year 10 Aliens,Johnna Roudebush  ,31.6,Marvel Leech  ,45,5
Planets and satellites,Year 9 Planets,Lucille Travis  ,71.4,Malik Liggett  ,80,none
Planets and satellites,Year 9 Planets,Wendie Urrutia  ,47.6,NA,NA,none
Planets and satellites,Year 9 Planets,Fidela Grieve  ,71.4,NA,NA,none
Safety on molten worlds,Year 9 Planets,Lajuana Calton  ,89.4,Loyce Leno  ,110,none
Understanding silicon life,Year 10 Aliens,Reda Cheatham  ,31.6,Layne Temple  ,45,none
Planets and satellites,Year 9 Planets,Denisha Levar  ,23.8,Madeline Duffer  ,40,2
Mapping our quadrant,Year 9 Navigation,Denisha Levar  ,43.6,Cristina Higgin  ,60,none
Mapping our quadrant,Year 9 Navigation,Isiah Salvas  ,21.8,Madeline Duffer  ,30,4
Safety on molten worlds,Year 9 Planets,Isiah Salvas  ,119.2,Cristina Higgin  ,140,none
Faster than light propulsion,Year 11 Engines,Celia Sutterfield  ,25.8,German Mcnamara  ,45,none
Planets and satellites,Year 9 Planets,Lawanna Dorsey  ,95.2,Carola Garica  ,115,none
Safety on molten worlds,Year 9 Planets,Anastacia Dones  ,119.2,Georgann Pangle  ,130,none
Mapping our quadrant,Year 9 Navigation,Stephaine Hamed  ,21.8,Sandie Helwig  ,45,none
Lifeforms and societies,Year 10 Planets,Lane Bartlow  ,39.6,Doreen Roger  ,60,3
Faster than light propulsion,Year 11 Engines,Colton Rust  ,25.8,Kecia Hanby  ,40,none
First contact: a guide,Year 10 Aliens,Lane Bartlow  ,143.2,Doreen Roger  ,170,none
Mapping our quadrant,Year 9 Navigation,Cecily Triano  ,21.8,Tam Bakke  ,30,none
Lifeforms and societies,Year 10 Planets,Kellee Crivello  ,59.4,Heike Nardi  ,80,5
First contact: a guide,Year 10 Aliens,Sulema Gatlin  ,71.6,Florine Folk  ,80,none
Safety on molten worlds,Year 9 Planets,Holly Davisson  ,29.8,Cristine Saad  ,45,none
Understanding silicon life,Year 10 Aliens,Caron Mraz  ,47.4,Twyla Maio  ,55,4
